archive  size       crc          hash        
0        76         3500965845   1095995562  
0        73         2424576974   -112767782  
0        273        2420268498   -1143964087 
0        140        3242164104   374078476   
0        111        3279916055   -735885433  
0        74         248158259    1722142539  
0        98         1395659614   -1995729030 
0        85         3537947502   -736551912  
0        215        1556144480   -1034333521 
0        61         4250878131   -352716533  
0        89         259362982    530590059   
0        277        200829057    -404883463  
0        134        3041954933   1165871804  
0        71         1600944134   482840929   
0        193        879677438    1945027035  
0        123        3447305406   -1035545463 
0        97         223908511    868247586   
0        223        1382440400   -489239693  
0        118        2892334260   875404970   
0        314        2788684385   -1858628156 
0        306        441358589    -1042095626 
0        324        1232739067   360913794   
0        354        3717273958   1968303529  
0        81         4010356645   -2013300013 
0        123        3952290944   1388647594  
0        82         252768170    178123688   
0        88         2574907934   -1749040703 
0        140        2160843420   1841162058  
0        111        148198432    2122417265  
0        64         602361636    1079260015  
0        206        1743674599   713831219   
0        76         2568575085   1954613837  
0        64         3230355640   -755298563  
0        149        1456243264   -787260860  
0        252        3070217139   -548392167  
0        110        1863883339   395966935   
0        146        573398237    1698677571  
0        145        840446720    -1923990521 
0        153        3887903955   -2070318688 
0        89         576649173    -1322754412 
0        103        2411421034   1713628101  
0        225        3780123255   -903173351  
0        7703       3507604154   -1109551873 
0        265        1518068100   -1527225883 
0        139        4110856671   -1316469133 
0        126        2647469989   1270527413  
0        112        684127982    -1091317427 
0        197        3786499554   -1194652395 
0        111        905056402    -1621840360 
0        64         1166172888   -345293430  
0        81         3400623342   -955937114  
0        99         3438286187   1547701474  
0        189        3013325226   -915462461  
0        125        248755097    1641879043  
0        198        3326840239   1265418562  
0        89         923410933    890330354   
0        108        3627782358   1036073345  
0        100        575949707    -163802327  
0        167        1206744109   1822004779  
0        96         1292801594   2127159828  
0        87         910249347    2046603043  
0        364        2020101207   2036614848  
0        56         894019843    -323032408  
0        82         666764702    -955313990  
0        50         1099070862   1205706138  
0        726        3424945954   -2093719026 
0        405        3336218301   -876115872  
0        69         3540845816   208378795   
0        643        1831113159   -768339049  
0        88         281314666    2049116700  
0        205        1829695865   -1442927022 
0        617        4109045041   1868086070  
0        250        4089651382   52858623    
0        92         3398260865   -1265166668 
0        268        2161986280   677125382   
0        177        99310420     -853794304  
0        58         476930938    71164426    
0        76         1308260096   602869946   
0        83         3760881230   -2006548500 
0        98         3476820097   -39214433   
0        245        2087154168   1321095989  
0        83         2899184016   269064927   
0        74         177741246    1952670731  
0        73         3711999746   -1049645583 
0        75         2223318166   -1011643371 
0        181        618409202    1788811387  
0        284        1045119754   -1109346220 
0        102        964708444    1173587736  
0        76         1879191834   -735998836  
0        203        2032310898   -564857516  
0        144        106948396    -1176767446 
0        140        749697490    -1477351871 
0        97         3375673996   1091099940  
0        154        3050774522   -357494105  
0        129        4014087791   1419526679  
0        118        3973148871   231986075   
0        77         3182656063   -1313445330 
0        72         2629648272   1430522103  
0        193        3090310984   1159322173  
0        396        3902948050   1972939246  
0        105        1416174916   -1949375369 
0        92         2495456367   2117627358  
0        172        2223849905   -1547219831 
0        311        384944098    -1237457193 
0        1254       517309383    1045971286  
0        882        3826261976   1252808537  
0        885        2339253176   -1491792529 
0        1329       493232447    48035635    
0        719        1706764076   -1130883565 
0        1179       1577089252   176131695   
0        863        2728387350   -1765884255 
0        1450       3019489905   -607538124  
0        117        769163393    -1871920932 
0        1497       1210645026   573392943   
0        560        2417833051   1170848572  
0        1059       1309425394   243044377   
0        631        1539162995   9354919     
0        545        3592597070   1167919877  
0        929        1431145369   -1671914552 
0        1245       636966621    36588135    
0        991        1793338631   -1808138975 
0        499        1983657280   1499689683  
0        994        1640402154   68396338    
0        1381       90353940     -1475905173 
0        1465       3672849779   473266257   
0        912        2609462698   767400682   
0        2194       2045417869   1534109326  
0        4083       3565469144   1667291265  
